CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0137,0.9963323425457112
C0001,C0152,0.9869046482018122
C0001,C0056,0.9304265739853477
C0002,C0029,0.9997577919968235
C0002,C0199,0.9993469209744867
C0002,C0010,0.9991818003638689
C0003,C0178,0.9999491872753427
C0003,C0112,0.999570425461454
C0003,C0131,0.9995698787270856
C0004,C0021,0.9999029227541466
C0004,C0075,0.999774867626502
C0004,C0108,0.9993154296151782
C0005,C0073,0.9999664651439709
C0005,C0144,0.9999535673904799
C0005,C0095,0.999946632236093
C0006,C0079,0.9998969172180884
C0006,C0117,0.9915523522623343
C0006,C0196,0.9545599462656269
C0007,C0085,0.9999761995718929
C0007,C0193,0.9993220044622224
C0007,C0120,0.9991928526246553
C0008,C0194,0.9993669805987332
C0008,C0179,0.9986864990487858
C0008,C0139,0.9976965787167642
C0009,C0077,0.9999358433247266
C0009,C0142,0.9996422140211864
C0009,C0032,0.9991462446506736
C0010,C0029,0.9998298903880369
C0010,C0025,0.9994906669506808
C0010,C0002,0.9991818003638689
C0011,C0183,0.994722607171387
C0011,C0048,0.9946779835821227
C0011,C0016,0.9932131637915763
C0012,C0102,0.9962450399402291
C0012,C0145,0.991152349898723
C0012,C0188,0.9898164696443068
C0013,C0045,0.9999912959125381
C0013,C0153,0.9997485587226153
C0013,C0059,0.9997185548987123
C0014,C0015,0.9999527058752842
C0014,C0058,0.9999345950947911
C0014,C0151,0.9999059818196547
C0015,C0058,0.9999848310059165
C0015,C0131,0.9999538103963201
C0015,C0014,0.9999527058752842
C0016,C0048,0.9999108050862925
C0016,C0183,0.9999049142743388
C0016,C0064,0.9979477170891812
C0017,C0162,0.9999312713015618
C0017,C0124,0.9996520686321231
C0017,C0090,0.9973909970658704
C0018,C0200,0.999999182192138
C0018,C0170,0.9999735409457393
C0018,C0182,0.999956358653078
C0019,C0172,0.9999805686568761
C0019,C0116,0.9605762021423147
C0019,C0034,0.8817294069115329
C0020,C0110,0.999994691081227
C0020,C0078,0.9999277519578567
C0020,C0080,0.9999018854141536
C0021,C0004,0.9999029227541466
C0021,C0108,0.9997178889912566
C0021,C0075,0.999389714009817
C0022,C0051,0.9995493621634451
C0022,C0059,0.9993499892670284
C0022,C0153,0.9993377771291587
C0023,C0087,0.9994982472155877
C0023,C0053,0.9991135484177719
C0023,C0054,0.9990370692294377
C0024,C0139,0.9999450811915809
C0024,C0081,0.9995212860275595
C0024,C0008,0.9975810927267829
C0025,C0010,0.9994906669506808
C0025,C0029,0.9987320421973793
C0025,C0002,0.9973822105154403
C0026,C0066,0.9970030185456995
C0026,C0185,0.9954434922006519
C0026,C0158,0.9899387110027246
C0027,C0146,0.9999910385410676
C0027,C0035,0.999910462567487
C0027,C0177,0.9996110558636303
C0028,C0143,0.9947966264921704
C0028,C0165,0.9876322580000984
C0028,C0188,0.985439967937815
C0029,C0010,0.9998298903880369
C0029,C0002,0.9997577919968235
C0029,C0025,0.9987320421973793
C0030,C0103,0.9999614100249877
C0030,C0189,0.9999341755722677
C0030,C0134,0.9998619410322824
C0031,C0199,0.9999631246233136
C0031,C0192,0.9997343188367865
C0031,C0083,0.9993998735231047
C0032,C0083,0.999985995315236
C0032,C0192,0.9997106009131724
C0032,C0077,0.9995501126910823
C0033,C0097,0.999999761371536
C0033,C0060,0.9999751467183671
C0033,C0198,0.9999568068989143
C0034,C0049,0.9992320991631546
